f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,labels
90.180625,54.097023944107825,80.90375,46.34317086623983,91.82927083333334,48.88490007884148,80.0,2.0,0.0,0.0,75.0,4.0,1.0,2.0,131.0,6.0,2.0,6.0,10.0,1.0,8.0,28.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.796282039169004,6.387703771432988,10.075625571372294,11.074682832425376,-22.065728554467096,14.76612880607733,-21.684440130460192,461.3264705882353,0.2378862640645305,0.03052297614246919,0.8959506437158655,0.0
96.6825,69.83778843684843,55.96208333333333,52.85562115164657,60.588854166666664,53.572472532732704,113.0,2.0,2.0,2.0,159.0,4.0,3.0,0.0,39.0,6.0,1.0,1.0,8.0,0.0,4.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197084880346592,4.8923298740643055,6.822325767659141,7.479180079781726,14.635480279637749,9.933491900801483,-15.42903800228018,669.5448529411765,0.2169373032820007,0.026770674637546888,0.8769539493208562,0.0
80.78979166666667,69.21222179492528,67.69541666666667,59.567616865147926,49.00208333333333,41.19661186302893,118.0,0.0,1.0,0.0,121.0,4.0,2.0,0.0,89.0,0.0,6.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435685748824146,5.637679230423651,7.7671095021062815,8.98669935810349,-17.59439865446455,-11.89968188956534,17.45563899058676,584.1233193277311,0.23015045360797418,0.028148124746965084,0.8922940786523259,0.0
105.1403125,67.22929978738692,73.35833333333333,44.81416411755948,74.60270833333334,42.202538343859494,184.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,11.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3621622684355503,4.9737083034387135,7.796376987720951,8.320960755688404,16.463140270957233,10.970431221653847,-16.62755464621519,456.9117647058824,0.33921245168484165,0.03322450929352235,0.8791648332204316,0.0
99.60739583333333,55.105014588525876,91.39260416666667,49.726241474044485,82.3615625,53.45950961608166,97.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,136.0,0.0,3.0,6.0,0.0,7.0,29.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713945936375559,5.778018437830087,10.051991885349759,10.743913616428655,21.25500658353478,-13.63300544951205,21.337554437164236,455.67888655462184,0.34935459632710886,0.02775336513255754,0.9103852202805242,0.0
116.3009375,55.83324464380005,105.86,67.30033419926927,92.4309375,73.66755434860335,116.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.731456689521296,5.873447800360639,9.619435784460489,10.404212349321217,20.478973947347118,13.43842823797486,20.71566794915668,585.8779411764706,0.28481649285189736,0.02503087564471677,0.9347676335426554,0.0
78.12135416666666,55.37415689952218,60.13614583333333,58.15229203117219,42.01114583333333,51.26873418504758,131.0,2.0,1.0,3.0,40.0,6.0,2.0,6.0,11.0,1.0,2.0,8.0,12.0,3.0,6.0,38.0,5.0,1.0,1.0,16.0,5.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2986982518924317,5.170358691209656,8.973599827777639,9.580233092046985,-20.175493959548604,-12.648166502442562,-18.857651394237493,924.1829831932773,0.11667853273574716,0.0205952011882287,0.8475315156836806,0.0
95.14635416666667,66.98308972886042,92.59791666666666,66.23672033441663,62.85947916666667,63.30233625016326,145.0,4.0,2.0,7.0,48.0,2.0,3.0,1.0,37.0,4.0,6.0,4.0,3.0,2.0,0.0,6.0,4.0,2.0,1.0,0.0,6.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667960308863243,5.759930232313039,9.952488878840578,10.83155453985657,-21.605407900711647,14.175603292593756,-21.264645123919514,1947.652836134454,0.07135476131285559,0.015733176305631275,0.7600447319935484,0.0
74.47375,78.79621090258189,75.67854166666666,79.80009005554608,81.326875,81.33386201987281,36.0,1.0,2.0,81.0,1.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8011027584450012,6.108728480162456,9.019280832229533,9.144235169091779,18.238929277382223,12.21033947399879,-18.844904462088532,485.8882352941177,0.43052565612714044,0.11903832967546925,0.961859290887341,0.0
87.85229166666667,44.55066234728275,60.6046875,41.76310770916532,50.143854166666664,35.308678019415176,157.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733775243714208,3.7347428178670703,6.462082142864551,7.514740995027648,-14.520603165278786,-9.385461010826878,15.059291394846396,571.8408613445379,0.24230723996735617,0.025636278393341056,0.8045503723043347,0.0
